23.8111215102	13484	Nostoc sp
21.2717865405	12046	Cylindrospermopsis raciborskii
10.2209115471	5788	Microcystis aeruginosa
10.1237881651	5733	Planktothrix rubescens
7.04232813576	3988	Oscillatoria sp
6.80216850024	3852	Anabaena sp
6.79687086122	3849	Lyngbya majuscula
6.55494534602	3712	Sphaerospermopsis torques-reginae
3.54412050363	2007	Planktothrix agardhii
2.41042575359	1365	Cuspidothrix issatschenkoi
0.805241130869	456	Nodularia spumigena
0.61452612619	348	Raphidiopsis curvata
0.00176587967296	1	Aphanizomenon sp
